oldvar,RPP.LANDCLIMII
"\iSerratula\i-typ (ängsskära, kardborre, spåtistel m. fl.)",Secale
"\iSerratula\i-typ (ängsskära, spåtistel, kardborre m. fl.)",Secale
"\iSinapis\i type - sharlock, cabbage, etc.",Secale
"\iSinapis\i-typ (senap, kål, rättika m. fl.)",Secale
\iSinapis\i-type,Secale
\iSium latifolium\i type - greater water-parsnip,Secale
\iSolanum,Secale
\iSolidago t./Sassurea t.\i,Secale
\iSoliodago,Secale
\iSparganium erectum\i,Secale
\iSparganium erectum\i - branched bur-reed,Secale
\iSparganium erectum\i (stor igelknopp),Secale
\iSparganium\i,Secale
"\iSpergula\i-typ (åkerspärgel, rödnarv m. fl.)",Secale
\iSpergula\i-type,Secale
\iSphagnum,Secale
\iSphagnum?,Secale
\iSphagnum\i,Secale
\iSphagnum\i - bog-moss,Secale
\iSphagnum\i (vitmossor),Secale
"\iStachys sylvatica\i-typ (stinksyska, plister, dån m. fl.)",Secale
\iStellaria holostea\i,Secale
\iStomata,Secale
\iSuccisa,Secale
\iSuccisa\i,Secale
\iSuccisa\i (ängsvädd),Secale
\iSymphytum\i (vallört),zz.do not use
\iTaraxacum t.\i,zz.do not use
\iThalictrum,zz.do not use
\iThalictrum\i,zz.do not use
\iThalictrum\i (ruta),zz.do not use
\iThalictrum\i t.,zz.do not use
\iThelypteris palustris\i,zz.do not use
\iThelypteris palustris\i (kärrbräken),zz.do not use
\iTilia,Tilia
\iTilia\i,Tilia
\iTilia\i - lime,Tilia
\iTilia\i (lind),Tilia
\iTilletia,zz.do not use
\iTrapa natans\i (sjönöt),zz.do not use
\iTrifolium \it.,zz.do not use
\iTrifolium t.,zz.do not use
\iTrifolium\i t.,zz.do not use
\iTrifolium\i type - clover,zz.do not use
\iTrifolium\i-typ (klöver),zz.do not use
\iTrifolium\i-type,zz.do not use
\iTriticum \it.,Cerealia-t
\iTriticum spelta-type,Cerealia-t
\iTriticum t.,Cerealia-t
\iTriticum\i,Cerealia-t
\iTriticum\i (vete),Cerealia-t
\iTriticum\i type - wheat,Cerealia-t
\iTrollius,zz.do not use
"\iTypha angustifolia\i-typ (igelknopp, smalkaveldun)",zz.do not use
\iTypha angustifolia\i-type,zz.do not use
\iTypha latifolia,zz.do not use
\iTypha latifolia\i,zz.do not use
\iTypha latifolia\i - bulrush,zz.do not use
\iTypha latifolia\i (bredkaveldun),zz.do not use
\iTypha/Sparganium \it.,zz.do not use
\iTypha/Sparganium t.,zz.do not use
\iTypha/Sparganium\i t.,zz.do not use
\iUlmus,Ulmus
\iUlmus\i,Ulmus
\iUlmus\i - elm,Ulmus
\iUlmus\i (alm),Ulmus
